"מקט פריט","תיאור עברית","תיאור אנגלית","קיים?","מחיר ספק","קטגוריה","אחוז רווח","CBM","יחידות בקרטון","חסרים"
"200-5634-2","צלחת וינטג לבן 7" (10 יח') ארוז 12 בקרטון","7" white Vintage Plate (pack 10) 12 in case","כן","5.94","-","18","0.008","1","הכל בסדר"
"200-5634-3","צלחת וינטג חום 7" (10 יח') ארוז 12 בקרטון","7" brown Vintage Plate (pack 10) 12 in case","כן","5.94","-","18","0.008","1","הכל בסדר"
"200-5635-1","מרקיה וינטג' גרז'  (10 יח') ארוז 12 בקרטון","Garzt Big Garz Bowl (pack 10) 12 in case","כן","7.8","-","18","0.023","1","הכל בסדר"
"200-5635-2","מרקיה וינטג' לבן (10 יח') ארוז 12 בקרטון","Mint Big white Bowl (pack 10) 12 in case","כן","7.8","-","18","0.023","1","הכל בסדר"
"200-5635-3","מרקיה וינטג' חום (10 יח') ארוז 12 בקרטון","Mint Big brown Bowl (pack 10) 12 in case","כן","7.8","-","18","0.023","1","הכל בסדר"
"200-5636-1","לפתנייה וינטג' גרז' (10 יח') ארוז 12 בקרטון","Garz Small Garz Bowl (pack 10) 12 in case","כן","5.16","-","18","0.01","1","הכל בסדר"
"200-5636-2","לפתנייה וינטג' לבן (10 יח') ארוז 12 בקרטון","White Small Bowl (pack 10) 12 in case","כן","5.16","-","18","0.01","1","הכל בסדר"
"200-5636-3","לפתנייה וינטג' חום(10 יח') ארוז 12 בקרטון","Brown Small  Bowl (pack 10) 12 in case","כן","5.16","-","18","0.01","1","הכל בסדר"
"200-5637-1","לפתנייה אובלית וינטג' גרז'  (10 יח') ארוז 12 בקרטון","Garz Oval Garz Bowl (pack 10) 12 in case","כן","5.16","-","18","0.011","1","הכל בסדר"
"200-5637-2","לפתנייה אובלית וינטג' לבן  (10 יח') ארוז 12 בקרטון","White Oval  Bowl (pack 10) 12 in case","כן","5.16","-","18","0.011","1","הכל בסדר"
"200-5637-3","לפתנייה אובלית וינטג' חום  (10 יח') ארוז 12 בקרטון","Brown Oval  Bowl (pack 10) 12 in case","כן","5.16","-","18","0.011","1","הכל בסדר"
"200-6500","צלחת 7" -צבעוני (100 יח') ארוז 12 בקרטון","colorful plate 7"  (Packed 100)  12 in a case","כן","12.87","-","18","-","12","CBM לקרטון"
"200-6501","צלחת 9" -צבעוני (100 יח') ארוז 12 בקרטון","colorful plate 9"  (Packed 100)  12 in a case","כן","23.18","-","18","-","12","CBM לקרטון"
"200-6502","מרקייה-צבעוני (100 יח') ארוז 12 בקרטון","colorful soup bowl (pack 100) 12 in case","כן","17.14","-","18","-","12","CBM לקרטון"
"200-6503","לפתנייה -צבעוני (100 יח') ארוז 20 בקרטון","colorful small bowl (pack 100) 20 in case","כן","15.12","-","18","-","20","CBM לקרטון"
"200-6504","קסרול-צבעוני (100 יח') ארוז 20 בקרטון","colorful oval bowl (pack 100) 20 in case","כן","17.24","-","18","-","20","CBM לקרטון"
"200-6505","מגש אובלי -צבעוני (25 יח') ארוז 40 בקרטון","Oval tray - colorful (25 units) packed 40 per carton","לא","-","-","-","-","-","פריט לא קיים במערכת"
"200-6507","צלחת בועות 10" פס זהב שקוף נצנץ (10 יח') ארוז 12 בקרטון","Bubbles Plate 10" Clear glitter  with gold rim (Packed 10) 12 in a case","כן","14.94","-","18","0.021","12","הכל בסדר"
"200-6508","צלחת בועות 9" שקוף נצנץ פס זהב (10 יח') ארוז 12 בקרטון","Bubbles Plate 9" Clear glitter with gold rim with gold rim (Packed 10) 12 in a case","כן","12.84","-","18","0.016","12","הכל בסדר"
"200-6509","צלחת בועות 7" שקוף נצנץ פס זהב (10 יח') ארוז 12 בקרטון","Bubbles Plate 7" Clear glitter with gold rim (Packed 10) 12 in a case","כן","7.8","-","18","0.01","12","הכל בסדר"
"200-6510","מרקייה בועות שקוף פס זהב (10 יח') ארוז 12 בקרטון","16oz bubbles bowl Clear  with gold rim (Packed 10) 12 in a case","כן","8.76","-","18","0.022","12","הכל בסדר"
"200-6511","מגש בועות 13" פס זהב (1 יח') ארוז 50 בקרטון","Bubbles Tray 13" with gold rim (Packed 1) 50 in a case","כן","19.65","-","-","0.017","50","אחוז רווח (לקטגוריה)"
"200-6512","מרקייה בועות שחור שקוף  פס זהב (10 יח') ארוז 12 בקרטון","16oz bubbles bowl Clear black with gold rim (Packed 10) 12 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"200-6600","צלחת פנינה 7" (10 יח') ארוז 24 בקרטון","Hot stamp Plate 7"with a Pearl (Packed 10) 24 in a case","כן","14.4","-","18","0.02","24","הכל בסדר"
"200-6601","צלחת פנינה 9" (10 יח') ארוז 24 בקרטון","Hot stamp Plate 9"with a Pearl (Packed 10) 24 in a case","כן","22.56","-","18","0.036","24","הכל בסדר"
"200-6602","צלחת פנינה 10" (10 יח') ארוז 24 בקרטון","Hot stamp Plate 10"with a Pearl (Packed 10) 24 in a case","כן","30","-","18","0.043","24","הכל בסדר"
"200-6603","מרקייה פנינה (10 יח') ארוז 24 בקרטון","Hot stamp Bowl  with  Pearl (Packed 10) 24 in a case","כן","17.76","-","18","0.048","24","הכל בסדר"
"200-6604","לפתנייה פנינה (10 יח') ארוז 24 בקרטון","Hot stamp Small Bowl with Pearl (Packed 10) 24 in a case","כן","13.92","-","18","0.027","24","הכל בסדר"
"200-6605","אובלי פנינה (10 יח') ארוז 24 בקרטון","Hot stamp Oval Bowl with Pearl (Packed 10) 24 in a case","כן","13.92","-","18","0.027","24","הכל בסדר"
"200-6610","צלחת אבן 7.5" קרם פס זהב (10 יח') ארוז 12 בקרטון","Cream Moonlight Plate 7.5" with gold rim(Packed 10) 12 in a case","כן","8.4","-","18","0.01","12","הכל בסדר"
"200-6610-1","צלחת אבן 7.5" ורוד פס זהב (10 יח') ארוז 12 בקרטון","Pink Moonlight Plate 7.5" with gold rim(Packed 10) 12 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"200-6610-2","צלחת אבן 7.5" ותכלת פס זהב (10 יח') ארוז 12 בקרטון","Light Blue Moonlight Plate 7.5" with gold rim(Packed 10) 12 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"200-6611","צלחת אבן 9" קרם פס זהב(10 יח') ארוז 12 בקרטון","Cream Moonlight Plate 9" with gold rim(Packed 10) 12 in a case","כן","13.44","-","18","0.015","12","הכל בסדר"
"200-6611-1","צלחת אבן 9" ורוד פס זהב(10 יח') ארוז 12 בקרטון","Pink Moonlight Plate 9" with gold rim(Packed 10) 12 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"200-6611-2","צלחת אבן 9" תכלת פס זהב(10 יח') ארוז 12 בקרטון","Light Blue Moonlight Plate 9" with gold rim(Packed 10) 12 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"200-6612","צלחת אבן 10.25" קרם פס זהב (10 יח') ארוז 12 בקרטון","Cream Moonlight Plate 10.25" with gold rim(Packed 10) 12 in a case","כן","15.96","-","18","0.019","12","הכל בסדר"
"200-6612-1","צלחת אבן 10.25" ורוד פס זהב (10 יח') ארוז 12 בקרטון","Pink Moonlight Plate 10.25" with gold rim(Packed 10) 12 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"200-6612-2","צלחת אבן 10.25" תכלת פס זהב (10 יח') ארוז 12 בקרטון","Light Blue Moonlight Plate 10.25" with gold rim(Packed 10) 12 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"200-6613","מרקייה אבן קרם פס זהב(10 יח') ארוז 12 בקרטון","Cream Moonlight 7.5" Bowl with gold rim (Packed 10) 12 in a case","כן","10.02","-","18","0.023","12","הכל בסדר"
"200-6613-1","מרקייה אבן ורוד פס זהב(10 יח') ארוז 12 בקרטון","Pink Moonlight 7.5" Bowl with gold rim (Packed 10) 12 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"200-6613-2","מרקייה אבן תכלת פס זהב(10 יח') ארוז 12 בקרטון","Light Blue Moonlight 7.5" Bowl with gold rim (Packed 10) 12 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"200-6614","לפתניה אבן קרם פס זהב  (10 יח') ארוז 12 בקרטון","Cream Moonlight 5" Bowl with gold rim (Packed 10) 12 in a case","כן","6.48","-","18","0.01","12","הכל בסדר"
"200-6614-1","לפתניה אבן ורוד פס זהב  (10 יח') ארוז 12 בקרטון","Pink Moonlight 5" Bowl with gold rim (Packed 10) 12 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"200-6614-2","לפתניה אבן תכלת פס זהב  (10 יח') ארוז 12 בקרטון","Light Blue Moonlight 5" Bowl with gold rim (Packed 10) 12 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"200-6700","מארז לאירוח PCt דגם רויאל 10 סועדים(50יח') ארוז 6 בקרטון","Combo packs PCt Royal model(Packed 50)6 in a casel","לא","-","-","-","-","-","פריט לא קיים במערכת"
"200-6701","מארז לאירוח PCt דגם פנטזיה 10 סועדים(50יח') ארוז 6 בקרטון","Combo packs PCt Fantasy model(Packed 50)6 in a casel","לא","-","-","-","-","-","פריט לא קיים במערכת"
"200-6702","מארז לאירוח PCt דגם שיש 10 סועדים(50יח') ארוז 6 בקרטון","Combo packs PCt Marble model(Packed 50)6 in a casel","לא","-","-","-","-","-","פריט לא קיים במערכת"
"200-6703","סט צלחות ל-8 סועדים(24 יח') ארוז 6 בקרטון","plate set (packed 24) 6 in a case","כן","11.7","-","18","0.018","6","הכל בסדר"
"200-6703-12","סט צלחות ל-8 סועדים(24 יח') ארוז 12 בקרטון","plate set (packed 24) 12 in a case","כן","22.8","-","18","0.034","12","הכל בסדר"
"200-6704","סט צלחות פרימיום 10"+9"(10+10 יח') ארוז 12 בקרטון","Hot stamp Plate set 10"+9" (packed 10+10) 12 in a case","כן","22.08","-","18","0.037","12","הכל בסדר"
"200-6705","סט צלחות וינטג' 10"+9"(10+10 יח') ארוז 12 בקרטון","Vintage Plate set 10"+9" (packed 10+10) 12 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"200-6706","סט צלחות אבן 10"+9"(8+8 יח') ארוז 12 בקרטון","Moonlight  Plate set 10"+9" (packed 8+8) 12 in a case","כן","25.2","-","18","0.029","12","הכל בסדר"
"200-6706-1","סט צלחות אבן קרם 10"+9"(8+8 יח') ארוז 12 בקרטון","Cream Moonlight  Plate set 10"+9" (packed 8+8) 12 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"200-6706-2","סט צלחות אבן ורוד 10"+9"(8+8 יח') ארוז 12 בקרטון","Pink Moonlight  Plate set 10"+9" (packed 8+8) 12 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"200-6706-3","סט צלחות אבן תכלת 10"+9"(8+8 יח') ארוז 12 בקרטון","Light Blue Moonlight  Plate set 10"+9" (packed 8+8) 12 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"200-6707","סט צלחות וינטג' 9"+7"(8+8 יח') בשרינק 12 בקרטון","Vintage Plate set 7"+9" (packed 8+8) in shrink 12 in a case","כן","12.64","-","18","0.023","12","הכל בסדר"
"200-6708","סט צלחות וינטג' מרקיה+ לפתניה (8+8 יח') בשרינק ארוז 12 בקרטון","Vintage Plate set soup bowl+ dessert bowl (packed 8+8) in shrink 12 in a case","כן","13.2","-","18","0.046","12","הכל בסדר"
"200-6709","סט צלחות לורן  10"+7"(8+8 יח') ארוז 24 בקרטון","Circle  Plate set 10"+7" (packed 8+8) 24 in a case","כן","35.39","-","18","0.058","24","הכל בסדר"
"200-6710","סט צלחות קריסטל 10"+7"(8+8 יח') ארוז 24 בקרטון","Water ripple plate set 10"+7" (packed 8+8) 24 in a case","כן","34.56","-","18","0.065","24","הכל בסדר"
"200-6711","סט צלחות פרימיום 9"+7"(8+8 יח') ארוז 24 בקרטון","Hot stamp Plate set 9"+7" (packed 8+8) 24 in a case","כן","25.34","-","18","0.037","24","הכל בסדר"
"200-6712","סט צלחות מרלין 10"+7"(8+8 יח') ארוז 12 בקרטון","Flower plate set 10"+7" (packed 8+8) 12 in a case","כן","-","-","18","0.034","12","מחיר ספק"
"200-6713","סט צלחות לורן 10"+9"(15+15 יח') ארוז 12 בקרטון","Circle  Plate set 10"+9" (packed 15+15) 12 in a case","כן","-","-","18","-","12","מחיר ספק; CBM לקרטון"
"200-6714","סט צלחות קריסטל 10"+9" (10+10יח') ארוז 12 בקרטון","Water ripple plate set 10"+9" (packed10+10) 12 in a case","כן","24.24","-","18","0.029","12","הכל בסדר"
"200-6714-1","סט צלחות קריסטל 10"+9" (10+10יח') ארוז 12 בקרטון","Water ripple plate set 10"+9" (packed10+10) 12 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"200-6714-2","סט צלחות קריסטל 10"+9" (10+10יח') ארוז 12 בקרטון","Water ripple plate set 10"+9" (packed10+10) 12 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"200-6715","סט צלחות לורן 10"+9"(10+10יח') ארוז 12 בקרטון","Circle  Plate set 10"+9" (packed 10+10) 12 in a case","כן","24.24","-","18","0.029","12","הכל בסדר"
"200-6716","סט צלחות נוגה 10"+8" קרם פס זהב(10+10 יח') ארוז 12 בקרטון","Flat plate set 10"+8" Cream color with gold rim (packed 10+10) 12 in a case","כן","25.2","-","18","0.056","12","הכל בסדר"
"200-6716-1","סט צלחות נוגה 10"+8" אפור נקודות פס זהב(10+10 יח') ארוז 12 בקרטון","Flat plate set 10"+8"  gray dots with gold rim (packed 10+10) 12 in a case","כן","25.2","-","18","0.056","1","הכל בסדר"
"200-6716-2","סט צלחות נוגה 10"+8" לבן פס זהב(10+10 יח') ארוז 12 בקרטון","Flat plate set 10"+8"white with gold rim (packed 10+10) 12 in a case","כן","25.2","-","18","0.056","1","הכל בסדר"
"200-6716-3","סט צלחות נוגה 10"+8" גרז' פס זהב(10+10 יח') ארוז 12 בקרטון","Flat plate set 10"+8" Garz with gold rim (packed 10+10) 12 in a case","כן","25.2","-","18","0.056","1","הכל בסדר"
"200-6717","סט צלחות לורן  10"+9" פנינה פס זהב(8+8 יח') ארוז 12 בקרטון","Circle  Plate set 10"+9"  Pearl color with gold (packed 8+8) 12 in a case","כן","19.39","-","18","0.029","12","הכל בסדר"
"200-6717-1","סט צלחות לורן  10"+9" גרז' פס זהב(8+8 יח') ארוז 12 בקרטון","Circle  Plate set 10"+9"  Garz  color with gold (packed 8+8) 12 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"200-6718-1","סט צלחות ורסאי שקוף פס זהב 10.5"+8"(10+10) ארוז 12 בקרטון","Versailles Plate clear with gold rim set 10.5"+8" (packed 10+10) 12 in a case","כן","27.12","-","18","0.06","1","הכל בסדר"
"200-6718-2","סט צלחות ורסאי גרז אטום 10.5"+8"(10+10) ארוז 12 בקרטון","Versailles Plate Opaque grease  set 10.5"+8" (packed 10+10) 12 in a case","כן","27.12","-","18","0.06","1","הכל בסדר"
"200-6718-3","סט צלחות ורסאי קרם פס זהב " 10.5"+8"(10+10) ארוז 6 בקרטון","Versailles Plate cream  with gold rim set 10.5"+8" (packed 10+10) 6 in a case","כן","27.12","-","18","0.06","1","הכל בסדר"
"200-6718-4","סט צלחות ורסאי שחור אטום פס זהב 10.5"+8"(10+10) ארוז 6 בקרטון","Versailles Plate Opaque black with gold rim set 10.5"+8" (packed 10+10) 6 in a case","כן","27.12","-","18","0.06","1","הכל בסדר"
"200-6718-5","סט צלחות ורסאי לבן פס זהב 10.5"+8"(10+10) ארוז 6 בקרטון","Versailles Plate white whith gold rim set 10.5"+8" (packed 10+10) 6 in a case","כן","27.12","-","18","0.06","1","הכל בסדר"
"200-6719-1","סט צלחות בועות 10"+7"  שקוף פס זהב(8+8)ארוז 14 בקרטון","Bubbles Plate Clear with gold rim set 10"+7" (packed 8+8) 14 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"200-6719-2","סט צלחות בועות 10"+7" שחור שקוף  פס זהב(8+8)ארוז 14 בקרטון","Bubbles Plate Clear Black with gold rim set 10"+7" (packed 8+8) 14 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"200-6720-1","סט צלחות ורסאי שקוף פס זהב 10"+7.5"(10+10) ארוז 12 בקרטון","Versailles Plate Clear  with gold rim set 10"+7.5" (packed 10+10) 12 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"200-6720-2","סט צלחות ורסאי גרז' אטום 10"+7.5"(10+10) ארוז 12 בקרטון","Versailles Plate Garz color  set 10"+7.5" (packed 10+10) 12 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"200-6720-3","סט צלחות ורסאי שחור שקוף פס זהב 10"+7.5"(10+10) ארוז 12 בקרטון","Versailles Plate clear black with gold rim set 10"+7.5" (packed 10+10) 12 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"200-6720-4","סט צלחות ורסאי לבן פס זהב 10"+7.5"(10+10) ארוז 12 בקרטון","Versailles Plate clear white with gold rim set 10"+7.5" (packed 10+10) 12 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
